route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
19-4799,19,"Rocklea - PA Hospital StationLink",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/19,E463A4,000000
26-4799,26,"Upper Mt Gravatt - RBWH via Fortitude Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/26,E463A4,000000
29-4799,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/29,E463A4,000000
30-4799,30,"Spring Hill Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/30,FFD51F,000000
40-4799,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/40,D20000,FFFFFF
50-4799,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/50,D20000,FFFFFF
60-4799,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/60,6DD0F6,000000
61-4799,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/61,7A0046,FFFFFF
77-4799,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/77,E463A4,000000
100-4799,100,"Forest Lake/Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/100,E463A4,000000
101-4799,101,"Forest Lake - Oxley station via Inala and Durack",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/101,E463A4,000000
102-4799,102,"Inala - Oxley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/102,E463A4,000000
103-4799,103,"Centenary - Inala Plaza",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/103,E463A4,000000
104-4799,104,"Corinda High - PA Hospital",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/104,E463A4,000000
105-4799,105,"Indooroopilly - PA Hospital via Yeronga",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/105,E463A4,000000
106-4799,106,"Mt Ommaney - Indooroopilly via Corinda",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/106,E463A4,000000
107-4799,107,"Yeerongpilly - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/107,E463A4,000000
109-4799,109,"Acacia Ridge - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/109,E463A4,000000
110-4799,110,"Inala - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/110,E463A4,000000
