route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BRIP-4856,QR 25_26-42693,37324836-QR 25_26-42693-1502,"Ipswich station",0,,BRIP0079
BRBN-4856,QR 25_26-42693,37324838-QR 25_26-42693-1702,"Beenleigh station",0,,BRBN0330
BRBN-4856,QR 25_26-42693,37324839-QR 25_26-42693-1704,"Beenleigh station",0,,BRBN0331
BNFG-4856,QR 25_26-42693,37324840-QR 25_26-42693-1E13,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37324841-QR 25_26-42693-1722,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37324842-QR 25_26-42693-1E31,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37324843-QR 25_26-42693-1740,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37324844-QR 25_26-42693-1E49,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37324845-QR 25_26-42693-1758,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37324846-QR 25_26-42693-1E67,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37324847-QR 25_26-42693-1776,"Beenleigh station",0,,FGBN1068
BNBR-4856,QR 25_26-42693,37324848-QR 25_26-42693-1M23,"Bowen Hills station",1,,BNBR0700
FGBN-4856,QR 25_26-42693,37324849-QR 25_26-42693-1706,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37324850-QR 25_26-42693-1E15,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37324851-QR 25_26-42693-1724,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37324852-QR 25_26-42693-1E33,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37324853-QR 25_26-42693-1742,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37324854-QR 25_26-42693-1E51,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37324855-QR 25_26-42693-1760,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37324856-QR 25_26-42693-1E69,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37324857-QR 25_26-42693-1778,"Beenleigh station",0,,FGBN1069
FGBN-4856,QR 25_26-42693,37324858-QR 25_26-42693-1708,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37324859-QR 25_26-42693-1E17,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37324860-QR 25_26-42693-1726,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37324861-QR 25_26-42693-1E35,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37324862-QR 25_26-42693-1744,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37324863-QR 25_26-42693-1E53,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37324864-QR 25_26-42693-1762,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37324865-QR 25_26-42693-1E71,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37324866-QR 25_26-42693-1780,"Beenleigh station",0,,FGBN1068
BRCL-4856,QR 25_26-42693,37324867-QR 25_26-42693-1802,"Cleveland station",0,,BRCL0285
CLSH-4856,QR 25_26-42693,37325288-QR 25_26-42693-1A11,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325289-QR 25_26-42693-1818,"Cleveland station",0,,SHCL1068
CLSH-4856,QR 25_26-42693,37325290-QR 25_26-42693-1A27,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325291-QR 25_26-42693-1834,"Cleveland station",0,,SHCL1068
CLSH-4856,QR 25_26-42693,37325292-QR 25_26-42693-1A43,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325293-QR 25_26-42693-1850,"Cleveland station",0,,SHCL1068
CLSH-4856,QR 25_26-42693,37325294-QR 25_26-42693-1A59,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325295-QR 25_26-42693-1866,"Cleveland station",0,,SHCL1052
CLSH-4856,QR 25_26-42693,37325296-QR 25_26-42693-1A75,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325297-QR 25_26-42693-1882,"Cleveland station",0,,SHCL1052
CLSH-4856,QR 25_26-42693,37325298-QR 25_26-42693-1A07,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325299-QR 25_26-42693-1814,"Cleveland station",0,,SHCL1068
CLSH-4856,QR 25_26-42693,37325300-QR 25_26-42693-1A23,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325301-QR 25_26-42693-1830,"Cleveland station",0,,SHCL1068
CLSH-4856,QR 25_26-42693,37325302-QR 25_26-42693-1A39,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325303-QR 25_26-42693-1846,"Cleveland station",0,,SHCL1068
CLSH-4856,QR 25_26-42693,37325304-QR 25_26-42693-1A55,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325305-QR 25_26-42693-1862,"Cleveland station",0,,SHCL1052
CLSH-4856,QR 25_26-42693,37325306-QR 25_26-42693-1A71,"Sandgate station",1,,CLSH1763
SHCL-4856,QR 25_26-42693,37325307-QR 25_26-42693-1878,"Cleveland station",0,,SHCL1052
CLSH-4856,QR 25_26-42693,37325308-QR 25_26-42693-1A09,"Sandgate station",1,,CLSH1764
SHCL-4856,QR 25_26-42693,37325309-QR 25_26-42693-1816,"Cleveland station",0,,SHCL1067
CLSH-4856,QR 25_26-42693,37325310-QR 25_26-42693-1A25,"Sandgate station",1,,CLSH1764
SHCL-4856,QR 25_26-42693,37325311-QR 25_26-42693-1832,"Cleveland station",0,,SHCL1067
CLSH-4856,QR 25_26-42693,37325312-QR 25_26-42693-1A41,"Sandgate station",1,,CLSH1764
SHCL-4856,QR 25_26-42693,37325313-QR 25_26-42693-1848,"Cleveland station",0,,SHCL1067
CLSH-4856,QR 25_26-42693,37325314-QR 25_26-42693-1A57,"Sandgate station",1,,CLSH1764
SHCL-4856,QR 25_26-42693,37325315-QR 25_26-42693-1864,"Cleveland station",0,,SHCL1066
CLSH-4856,QR 25_26-42693,37325316-QR 25_26-42693-1A73,"Sandgate station",1,,CLSH1764
SHCL-4856,QR 25_26-42693,37325317-QR 25_26-42693-1880,"Cleveland station",0,,SHCL1066
BRFG-4856,QR 25_26-42693,37325318-QR 25_26-42693-1E01,"Ferny Grove station",1,,BRFG0072
FGBN-4856,QR 25_26-42693,37325319-QR 25_26-42693-1710,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37325320-QR 25_26-42693-1E19,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37325321-QR 25_26-42693-1728,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37325322-QR 25_26-42693-1E37,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37325323-QR 25_26-42693-1746,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37325324-QR 25_26-42693-1E55,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37325325-QR 25_26-42693-1764,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37325326-QR 25_26-42693-1E73,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37325327-QR 25_26-42693-1782,"Beenleigh station",0,,FGBN1069
BRFG-4856,QR 25_26-42693,37325328-QR 25_26-42693-1E03,"Ferny Grove station",1,,BRFG0071
FGBN-4856,QR 25_26-42693,37325329-QR 25_26-42693-1712,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37325330-QR 25_26-42693-1E21,"Ferny Grove station",1,,BNFG1747
FGBN-4856,QR 25_26-42693,37325331-QR 25_26-42693-1730,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37325332-QR 25_26-42693-1E39,"Ferny Grove station",1,,BNFG1746
FGBN-4856,QR 25_26-42693,37325333-QR 25_26-42693-1748,"Beenleigh station",0,,FGBN1036
BNFG-4856,QR 25_26-42693,37325334-QR 25_26-42693-1E57,"Ferny Grove station",1,,BNFG1745
FGBN-4856,QR 25_26-42693,37325335-QR 25_26-42693-1766,"Beenleigh station",0,,FGBN1037
BNFG-4856,QR 25_26-42693,37325336-QR 25_26-42693-1E75,"Ferny Grove station",1,,BNFG1746
